RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;CreateChildrenFeaturesWithGroup;CreateFeatureWithSubFeatures;ReplaceFeature;AddSiblingFeaturesWithGroup;Generalization_2-4;Generalization_2-5;Generalization_2-7;ExtractALTGroup;Refactoring_1-1;Refactoring_1-2;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-6;Refactoring_1-8;PushDownGroup;Specialization_3-2;Specialization_3-3;Specialization_3-4;Specialization_3-5;Specialization_3-6;Specialization_3-7;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];61/1;41/0;43/1;42/0;42/0;42/0;42/1;42/0;43/1;41/0;42/0;44/0;43/0;46/1;48/0;44/0;42/0;41/1;41/0;42/1;41/0;43/0;41/1;40/1;41/0;41/0;42/0;43/0;1/0;43/0;1/1;45/0;48/0;47/0;1/0;44/1;44/0;45/0;42/0;47/0;47/1;43/1;42/0;43/0;2/0;43/1;45/0;
deleteExcludeConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];57/0;38/0;41/1;37/1;39/0;38/0;40/1;36/1;39/0;37/0;37/0;778/4;51/1;46/0;40/0;41/1;40/1;40/0;40/1;41/0;41/0;48/0;53/1;40/1;44/0;43/0;52/1;47/0;1/0;49/0;1/0;46/1;979/2;59/0;1/0;54/1;48/0;49/0;47/0;48/0;47/0;52/0;48/1;47/1;0/1;51/0;48/0;
deleteRequireConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];79/0;65/0;45/0;43/0;44/0;46/0;53/0;53/0;42/0;42/0;43/1;46/1;815/1;49/0;47/0;37/0;41/1;40/1;40/1;40/1;40/0;47/0;50/1;41/0;41/0;39/1;41/0;44/0;1/0;45/0;1/7;42/0;43/0;1075/1;1/0;53/0;51/1;37/1;39/0;38/0;39/0;40/0;38/0;38/0;2/0;40/1;38/0;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];76/1;52/0;44/0;45/0;54/0;48/0;52/0;42/0;52/0;47/0;49/0;49/0;48/0;48/0;46/1;46/0;46/1;47/0;47/0;47/0;46/0;49/0;47/0;47/1;46/1;52/1;53/0;49/0;1/0;48/0;1/0;49/0;59/0;61/0;1/0;60/0;50/0;51/1;50/0;49/1;49/0;51/0;47/1;48/0;1/0;48/1;50/0;
setFeatureOptional[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];71/1;51/0;52/0;49/0;46/1;47/0;47/0;51/1;45/0;49/0;46/1;47/0;46/0;44/0;44/1;43/0;44/0;45/0;43/1;43/0;51/1;47/0;49/1;50/1;47/0;44/0;46/0;44/1;0/1;43/0;1/0;43/1;44/1;43/0;0/0;44/0;39/1;40/0;45/0;43/0;44/0;44/0;44/0;42/1;0/1;43/0;43/1;
createAbstractFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];70/1;70/0;67/0;44/0;45/0;45/1;48/0;47/0;42/0;44/0;45/0;45/1;45/0;48/1;39/0;41/1;40/0;40/0;49/0;47/0;41/1;52/0;49/0;44/1;43/0;45/0;52/0;54/0;1/0;47/0;1/1;47/0;48/1;45/0;0/0;46/1;48/0;46/1;46/0;45/1;46/0;45/0;45/1;48/0;1/0;44/1;59/0;
deleteAbstractFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];167/1;80/1;147/1;101/1;45/0;141/1;136/1;180/1;55/0;88/1;136/1;112/1;107/2;82/0;82/0;82/1;98/0;44/0;116/1;113/0;99/0;122/1;87/0;93/1;133/1;78/1;79/0;97/1;1/1;122/1;1/2;74/0;112/1;159/2;0/3;114/2;136/1;125/1;129/1;137/1;276/2;197/2;189/1;116/1;0/2;200/1;119/1;
changeGroupFromORtoALT[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];72/0;39/0;42/1;41/1;39/0;42/0;41/0;38/0;40/0;36/0;38/0;41/0;40/0;41/0;41/0;47/0;44/1;52/0;57/0;53/0;48/1;53/0;50/0;52/0;49/0;49/0;48/0;52/0;1/0;54/0;1/0;52/1;63/0;60/0;0/1;55/1;52/0;48/1;48/1;52/0;53/0;49/1;48/0;48/0;1/0;54/0;47/1;
createExcludeConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];82/0;83/0;79/1;50/1;50/0;51/1;53/0;52/0;51/1;47/0;55/1;52/1;50/0;50/0;50/0;51/0;49/0;49/0;67/0;51/0;51/1;51/0;51/0;48/0;50/0;49/0;52/0;55/1;0/1;51/0;1/0;55/0;51/0;51/0;1/0;50/0;49/0;48/0;50/0;50/0;48/0;48/0;50/0;48/0;1/0;49/0;48/0;
createRequireConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];72/0;75/1;75/0;50/0;59/0;64/1;57/0;56/0;56/1;55/0;60/0;56/1;55/1;53/1;53/1;52/0;49/1;52/0;56/0;54/0;54/0;56/0;64/0;60/1;59/1;59/0;56/0;57/1;0/1;57/0;1/0;60/0;61/0;56/1;1/0;56/0;57/1;54/1;54/0;55/0;56/0;54/0;70/0;55/0;1/0;55/0;53/1;
