RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;PushDownGroup;Specialization_3-4;Specialization_3-6;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];68/35/0;45/33/0;46/34/0;49/35/0;47/35/0;51/35/0;56/39/0;59/49/0;55/40/0;65/38/0;54/38/0;51/41/0;55/37/0;51/37/0;54/38/1;55/39/1;57/41/0;56/37/0;56/41/0;52/37/0;49/42/0;54/47/0;58/40/0;57/37/0;55/39/0;56/47/0;61/40/0;52/45/1;56/40/0;52/30/0;53/37/0;53/39/0;53/38/0;57/40/0;53/29/0;58/41/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];71/42/0;51/40/0;50/44/0;49/28/0;42/30/0;45/29/0;41/30/0;43/28/0;42/28/0;41/27/0;40/27/0;46/29/0;42/28/0;39/28/0;40/28/0;40/30/0;46/29/0;49/33/0;55/34/0;67/32/0;54/41/0;74/38/0;58/30/0;54/36/1;55/32/0;48/33/0;51/32/0;48/43/1;52/37/0;58/36/0;55/34/0;55/34/0;57/51/0;57/37/0;55/36/0;56/39/0;
deleteExcludeConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];77/34/0;51/34/0;55/32/0;61/42/0;46/36/1;47/41/0;55/37/0;53/32/0;45/31/0;45/31/0;48/33/0;924/861/3;56/39/0;48/31/0;42/34/0;54/32/0;43/35/0;41/34/0;45/40/0;47/33/0;48/36/0;55/43/0;47/33/0;46/33/0;45/32/0;44/31/0;43/33/0;1051/940/3;96/45/0;46/36/0;48/32/0;47/35/0;50/35/0;49/36/0;47/36/0;55/36/0;
deleteRequireConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];79/37/0;79/36/0;46/34/0;48/32/0;42/32/0;45/35/0;55/44/0;53/43/0;50/37/0;52/49/1;55/35/0;55/41/0;993/845/2;84/41/0;51/33/0;40/30/0;48/35/0;44/33/0;45/33/0;45/33/0;44/32/0;49/48/0;51/37/0;48/30/0;49/35/0;42/33/0;41/32/0;52/33/0;1278/1203/3;109/47/1;69/44/0;53/37/0;51/40/0;49/39/0;48/38/0;51/37/0;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];91/46/0;49/34/0;46/35/0;56/36/1;48/32/0;47/36/0;47/34/0;54/36/0;48/37/0;47/36/0;51/34/0;51/37/0;49/51/0;53/45/0;48/34/0;52/37/0;53/34/0;52/37/0;50/39/0;50/38/0;55/36/0;54/47/0;54/36/0;49/33/0;52/37/0;44/35/0;46/34/0;44/35/0;44/36/1;46/49/0;49/39/0;49/40/0;51/39/0;50/47/0;55/39/0;50/41/0;
setFeatureOptional[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];83/38/0;49/38/0;49/40/1;51/36/0;51/37/0;51/37/0;53/41/1;53/39/0;52/37/0;43/37/0;48/37/0;50/36/0;51/36/0;47/36/0;46/36/0;50/37/0;51/37/0;64/39/0;53/44/0;61/47/0;62/39/0;52/41/0;54/43/0;54/45/0;58/45/0;63/47/0;65/38/0;53/44/0;52/40/0;50/45/0;57/41/0;53/39/0;52/41/0;61/51/1;57/46/0;65/40/0;
createAbstractFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];87/71/0;103/37/0;57/44/0;71/52/0;56/50/0;57/43/0;70/50/0;56/42/1;48/38/0;51/34/0;47/35/0;48/32/0;47/46/0;52/39/0;55/41/0;54/40/1;54/38/0;53/38/0;56/38/0;54/36/0;58/42/0;60/43/0;58/41/0;66/42/0;68/47/0;55/39/0;58/46/0;61/42/0;57/40/0;58/42/0;54/39/0;52/42/0;57/39/1;52/45/0;60/52/0;59/49/0;
deleteAbstractFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];193/102/1;104/46/0;153/104/1;114/64/0;55/36/0;128/78/1;134/55/1;141/99/1;54/38/0;94/40/0;164/121/1;158/67/1;145/70/1;111/47/1;127/56/1;106/58/0;135/89/2;72/49/0;160/63/2;151/71/0;156/77/1;181/78/1;115/48/0;102/51/0;161/103/2;135/77/2;180/92/1;129/57/0;160/121/1;135/83/1;154/113/1;156/102/1;166/138/2;423/319/2;157/118/1;242/186/2;
changeGroupFromORtoALT[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];93/41/0;53/41/0;52/40/0;50/40/0;49/38/0;50/42/0;49/37/0;43/43/1;52/42/0;44/38/0;44/38/0;54/38/1;50/39/0;48/38/0;48/35/1;47/36/0;48/37/0;46/37/0;54/42/1;67/36/0;48/37/0;48/38/0;50/35/0;51/37/0;49/39/0;52/38/0;54/51/0;53/40/0;58/40/1;51/40/0;53/39/0;52/40/0;54/40/0;54/41/0;50/45/0;54/42/0;
createExcludeConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];85/74/0;85/37/0;52/35/0;51/40/1;51/36/0;50/41/0;58/42/0;59/43/0;56/40/0;63/40/0;60/40/0;57/44/0;59/42/0;56/42/0;56/43/0;58/40/0;62/42/0;57/40/0;63/46/0;59/40/0;54/39/0;56/41/0;54/40/0;56/38/0;52/37/0;56/41/0;58/45/0;69/43/0;58/43/0;57/42/0;64/41/0;65/42/0;58/40/0;61/44/0;64/40/0;69/44/0;
