RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;CreateChildrenFeaturesWithGroup;CreateFeatureWithSubFeatures;ReplaceFeature;Generalization_2-4;Generalization_2-7;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-6;Refactoring_1-8;PushDownGroup;Specialization_3-2;Specialization_3-3;Specialization_3-4;Specialization_3-6;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];56/0;47/1;43/0;43/0;43/0;50/1;47/0;46/0;44/0;42/0;45/1;44/0;45/0;45/1;44/0;46/1;43/0;41/0;47/0;45/1;47/0;46/0;46/0;43/0;44/0;44/1;44/1;43/0;43/0;44/0;45/1;56/0;50/0;49/0;49/0;49/1;48/1;50/0;53/0;51/0;52/0;58/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];63/0;53/1;50/0;49/0;55/0;52/0;52/0;51/0;56/0;53/0;56/0;54/1;54/0;61/0;53/1;50/1;50/0;51/0;50/1;49/0;50/0;51/1;48/1;54/0;48/1;49/1;47/0;47/0;50/1;49/0;52/0;49/0;48/0;49/1;47/0;46/1;47/0;52/0;50/0;48/0;53/0;48/1;
deleteExcludeConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];58/0;43/1;44/0;43/1;41/0;44/0;49/0;45/0;46/1;37/0;41/0;882/4;50/1;52/0;51/0;44/0;43/0;43/0;46/0;48/0;41/1;48/0;50/0;41/1;43/0;42/0;42/0;43/1;44/0;44/1;1047/2;72/1;82/0;61/0;51/1;48/0;48/1;48/0;47/1;49/0;52/0;51/1;
deleteRequireConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];70/0;59/0;46/1;44/1;45/0;47/0;56/1;60/0;46/0;47/1;43/1;47/1;850/2;87/0;53/0;50/0;45/0;44/0;50/1;48/0;45/0;52/1;49/0;42/0;43/0;45/0;47/0;44/0;46/0;42/0;45/0;1114/3;101/0;57/1;56/0;42/1;42/0;46/1;47/0;46/0;41/1;46/0;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];76/0;53/0;43/0;42/0;45/1;50/0;42/0;45/0;42/1;46/0;42/0;42/0;41/0;40/0;40/1;44/0;41/0;47/0;44/0;42/0;39/0;46/0;43/1;44/0;44/1;52/0;46/1;49/0;48/0;48/1;49/0;49/0;48/0;47/0;51/1;41/1;39/1;40/1;43/1;54/0;40/0;39/1;
setFeatureOptional[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];59/0;47/1;41/1;42/0;44/0;39/0;40/0;38/0;37/1;39/1;40/0;39/0;41/0;41/0;38/1;37/1;38/1;39/0;38/1;39/0;38/1;39/0;42/0;43/0;47/1;40/0;40/1;39/0;38/1;38/0;38/1;40/0;39/0;38/1;39/1;38/1;37/1;41/0;38/1;38/0;38/0;39/1;
createAbstractFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];64/0;62/1;61/0;40/0;39/0;40/0;40/0;37/0;39/0;41/1;40/0;41/0;43/0;41/0;40/0;41/0;41/0;45/0;40/1;41/0;40/0;44/0;43/0;45/0;42/1;44/1;42/1;42/0;43/0;54/0;47/0;47/0;46/0;51/0;52/0;57/0;62/0;52/1;47/0;47/1;51/0;57/0;
deleteAbstractFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];148/1;58/0;123/2;83/1;51/1;101/2;72/0;120/1;54/0;49/1;107/2;65/0;62/1;52/0;51/0;52/1;67/1;47/0;58/0;60/1;74/1;71/1;55/1;53/1;113/2;73/1;60/0;85/1;140/1;69/1;76/1;146/1;121/2;122/1;120/1;130/1;132/2;312/2;187/2;163/2;110/1;180/2;
changeGroupFromORtoALT[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];71/0;42/1;43/0;44/1;42/0;46/0;45/0;52/1;48/0;47/1;49/0;50/0;48/0;48/0;45/1;45/0;49/0;47/0;52/0;49/0;50/0;46/0;46/0;46/1;47/1;47/1;46/0;46/0;52/0;49/1;48/0;56/0;49/0;46/0;48/0;49/1;46/0;50/0;47/0;48/0;50/0;49/1;
createExcludeConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];81/0;73/1;77/0;57/0;54/0;53/0;57/0;56/1;53/0;57/0;54/0;64/0;54/0;50/1;51/1;62/0;52/0;55/0;57/0;52/0;55/0;56/0;50/0;53/0;48/0;52/0;50/0;51/0;48/0;52/0;48/0;51/1;51/0;49/0;59/0;50/0;54/1;55/0;54/0;57/1;66/0;55/0;
createRequireConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];85/0;78/0;80/0;55/0;57/0;56/0;53/0;58/0;51/1;47/0;52/0;51/0;57/1;51/1;51/1;58/1;59/0;54/1;64/1;66/0;47/1;52/0;58/0;52/0;54/1;50/1;59/0;51/0;53/1;49/0;60/0;51/0;53/0;56/1;59/1;58/0;67/0;57/0;66/0;64/0;55/1;58/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];148/1;69/1;132/1;100/1;52/0;125/1;88/1;151/2;58/1;61/0;139/1;67/1;64/1;54/1;55/0;59/0;78/2;46/1;63/0;65/0;78/1;79/1;54/0;53/1;111/2;70/1;59/0;84/1;107/2;59/0;68/0;140/1;111/1;132/2;117/1;137/1;136/1;327/2;201/1;184/1;126/2;181/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];110/0;54/0;47/0;50/1;48/0;48/0;123/1;85/1;51/1;48/1;52/1;49/0;47/1;57/1;63/0;60/0;55/0;59/0;55/1;56/0;56/1;138/2;55/1;50/1;60/0;51/1;50/0;99/1;60/1;51/1;132/1;62/1;51/1;83/1;56/1;86/1;52/0;197/2;64/0;51/1;52/0;127/1;
setFeatureAbstract[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];89/1;48/1;50/0;48/0;47/1;46/1;54/1;44/0;48/0;43/0;46/0;49/1;52/0;55/1;51/0;48/0;49/1;52/0;48/1;50/0;47/0;53/0;49/0;48/0;47/0;47/0;55/0;51/0;48/0;51/1;54/0;48/0;49/0;53/0;46/0;51/0;48/0;48/0;51/0;54/0;51/0;52/0;
setFeatureMandatory[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];75/0;48/0;48/0;46/0;46/1;47/0;49/0;43/1;48/0;44/0;45/0;52/0;47/0;46/0;49/0;46/1;48/1;46/0;48/0;46/1;49/0;56/1;47/1;50/1;50/0;43/0;51/0;47/1;47/1;46/0;48/1;49/1;46/0;50/0;48/0;55/0;54/0;51/0;50/0;53/0;51/1;52/1;
mutuallyExchangeMandatoryAndOptional[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];77/1;70/0;52/0;54/1;51/0;55/0;66/0;54/1;50/0;52/0;51/0;56/0;55/1;54/0;51/1;52/0;53/1;52/0;51/0;55/0;53/0;50/0;51/0;52/0;50/1;52/1;50/1;52/0;49/0;49/1;49/0;52/0;50/0;51/1;50/0;50/0;48/0;53/1;51/0;48/1;49/1;48/0;
CreateChildrenFeaturesWithGroup[#LhsNode:2 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];79/0;49/1;53/1;49/1;50/0;50/0;51/1;54/0;52/0;50/1;52/0;51/1;50/0;48/1;50/0;49/0;50/0;50/0;52/1;50/1;49/1;50/0;54/0;49/1;51/1;49/0;50/0;53/0;55/0;50/0;49/0;49/0;49/1;50/0;51/1;52/0;48/0;51/0;53/0;52/0;49/0;51/0;
CreateFeatureWithSubFeatures[#LhsNode:2 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];84/1;51/0;52/0;51/0;53/1;50/1;51/0;51/0;49/1;49/1;51/0;51/1;56/0;51/0;49/1;50/1;50/0;53/0;51/1;50/1;50/0;57/1;55/0;54/0;58/0;55/0;54/0;53/1;56/0;54/0;55/0;57/0;54/1;53/0;56/0;68/1;55/0;55/1;56/0;53/0;58/0;58/1;
ReplaceFeature[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3];299/2;66/0;119/1;85/1;76/0;103/1;161/1;269/2;58/0;55/0;112/1;69/0;85/1;60/1;52/1;49/0;65/1;44/0;66/0;67/1;73/1;174/1;65/0;54/0;105/2;65/1;59/0;181/1;137/1;79/1;161/1;180/1;134/1;344/1;153/2;307/1;157/1;1307/4;270/1;228/1;152/1;680/2;
Generalization_2-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];90/0;68/0;47/0;57/1;47/0;47/0;46/1;48/0;50/0;44/0;54/0;47/0;50/0;47/0;47/0;47/0;46/1;44/0;46/1;59/0;47/1;47/0;48/1;47/0;48/0;54/0;58/1;57/0;70/1;56/0;58/0;57/0;55/0;56/1;57/0;58/1;52/0;53/0;49/0;50/0;48/0;48/0;
Generalization_2-7[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];92/0;51/0;49/0;52/0;55/1;50/0;52/0;51/1;55/1;54/1;55/0;54/0;55/1;55/0;54/0;53/1;51/1;53/0;56/1;51/0;55/0;53/0;55/1;55/1;51/0;50/0;50/1;51/1;52/0;50/0;53/0;55/0;53/1;53/0;55/1;58/0;51/0;55/0;53/0;56/1;52/0;54/1;
ExtractALTGroup[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:5];86/1;56/0;54/1;49/1;50/1;50/0;51/0;51/0;53/0;52/1;51/0;933/1;84/1;57/1;60/0;52/0;49/1;50/0;49/1;48/1;49/0;50/0;51/1;55/0;57/0;54/0;56/1;51/0;50/0;49/0;912/0;100/1;59/1;62/0;55/0;58/0;78/0;56/1;55/0;56/0;52/0;55/0;
Refactoring_1-1[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:6];126/1;55/0;90/1;77/1;55/0;71/1;56/1;81/2;57/1;53/0;80/1;59/1;1043/2;85/0;55/0;55/1;59/1;52/0;52/0;51/0;61/1;51/1;59/0;52/1;71/1;54/0;54/0;66/0;78/1;55/0;53/1;4761/3;276/1;111/1;129/1;126/1;96/0;151/2;129/1;144/1;95/1;128/1;
Refactoring_1-3[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];138/1;65/1;80/0;71/0;106/0;92/1;58/0;78/0;59/0;51/1;70/0;76/1;55/0;54/0;62/0;77/1;95/1;60/0;63/1;64/1;74/1;61/0;56/0;58/0;76/1;71/0;56/0;69/1;77/0;83/1;73/0;89/1;92/1;111/1;83/1;89/1;79/1;147/1;100/0;98/1;90/1;90/1;
Refactoring_1-4[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1];150/1;103/0;92/1;87/1;70/0;84/0;74/1;91/0;67/0;62/1;91/1;69/0;74/1;106/0;82/0;65/1;74/0;65/1;62/0;93/1;94/1;66/0;68/0;57/1;80/1;85/1;62/1;77/0;80/1;73/1;60/0;119/0;78/0;88/1;100/1;113/1;69/0;128/1;93/1;87/1;89/1;97/1;
Refactoring_1-5[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];132/0;61/1;80/1;82/0;54/1;64/0;79/0;109/1;80/0;67/1;79/1;71/1;58/1;57/0;66/0;59/0;71/1;61/1;80/0;81/0;85/1;73/1;82/1;77/0;90/0;63/0;85/0;73/1;90/1;64/1;62/1;97/1;89/1;92/1;105/0;91/1;86/0;133/1;100/0;124/1;82/1;106/1;
Refactoring_1-6[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:4];722/1;128/1;171/1;98/1;68/1;104/1;244/1;594/1;103/1;64/1;151/1;68/1;63/0;68/0;67/1;64/1;90/1;69/1;70/1;70/1;98/1;288/0;74/1;68/1;167/1;69/1;97/1;322/2;159/1;72/1;166/1;191/1;156/1;750/1;241/1;730/1;178/2;5593/3;419/1;262/1;244/1;2039/1;
Refactoring_1-8[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];157/0;134/1;139/1;80/1;75/0;82/0;76/1;97/1;83/1;78/0;128/1;72/1;73/1;74/1;93/0;74/0;85/0;71/1;74/0;79/0;113/0;103/0;91/1;78/0;123/1;82/1;111/0;135/0;114/1;111/0;102/1;131/0;122/0;112/1;99/1;119/1;87/1;150/0;136/1;136/1;93/1;108/0;
PushDownGroup[#LhsNode:7 ,#LhsEdges:12 ,#deleteNodes:0 ,#deleteEdges:6];1450/1;348/1;189/1;102/0;90/1;134/1;5206/2;2257/0;166/1;125/0;212/1;108/0;108/0;126/1;106/0;102/1;114/1;95/0;93/1;91/1;138/1;4939/1;955/0;229/0;332/1;120/0;173/1;556/1;274/1;112/0;792/0;335/1;200/2;1453/2;322/0;1338/2;225/1;33066/4;1031/1;566/0;343/1;11897/1;
Specialization_3-2[#LhsNode:5 ,#LhsEdges:3 ,#deleteNodes:0 ,#deleteEdges:0];360/0;324/0;301/0;286/0;290/0;275/1;243/1;181/1;221/0;225/1;179/0;120/1;176/0;176/1;164/0;225/0;235/0;169/0;182/0;206/0;150/1;258/0;123/1;169/0;206/0;149/0;187/0;268/1;235/0;211/0;235/0;143/0;128/0;157/0;202/1;199/0;170/0;185/0;144/0;213/0;185/0;175/0;
Specialization_3-3[#LhsNode:5 ,#LhsEdges:3 ,#deleteNodes:0 ,#deleteEdges:0];323/0;159/1;228/1;216/0;279/0;141/0;237/0;194/0;181/1;211/0;112/0;220/0;211/0;184/0;238/0;197/0;260/1;137/1;257/0;189/0;146/1;205/0;188/0;164/0;184/0;272/1;174/0;245/0;170/0;218/0;164/1;154/0;256/1;197/0;283/0;164/0;185/0;251/0;228/0;159/0;212/1;200/0;
Specialization_3-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];337/0;184/0;226/0;257/1;148/1;145/0;153/1;198/1;144/1;123/1;208/0;181/0;174/0;189/0;154/0;141/1;270/0;194/0;165/0;163/1;231/0;155/0;185/0;164/0;254/1;237/0;156/0;233/0;132/0;159/0;194/0;155/0;144/0;115/0;180/1;134/0;232/1;235/0;197/0;171/0;133/1;146/0;
Specialization_3-6[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2];391/1;339/1;283/0;216/0;107/1;187/0;500/1;339/1;159/0;214/0;197/0;260/0;126/1;235/0;266/0;222/0;241/1;253/1;235/0;290/0;235/0;466/0;202/0;230/0;229/0;175/1;245/0;280/1;221/0;242/1;291/1;214/1;214/1;272/0;245/0;256/1;239/0;349/1;154/1;221/0;221/0;326/1;
Total run times [ms]- normal CPA: 0 essential CPA: 228093 atomic CPA: 899
