\/firstRule / secondRule->;decapsulateAttribute;pullUpEncapsulatedAttribute;
decapsulateAttribute;3;3;
pullUpEncapsulatedAttribute;13;13;
SUM:;=SUMME(B2:CCC3);
TIMEOUTS:;=ZÄHLENWENN(B2:CCC3."TO");
MAXIMUM:;=MAX(B2:CCC3);
AVERAGE:;=MITTELWERT(B2:CCC3);
