RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];40/0;24/0;24/0;24/0;24/0;25/0;24/0;28/0;26/0;30/0;27/0;27/0;29/0;86/0;28/0;31/0;91/0;27/0;25/0;25/0;26/0;26/0;27/0;26/0;27/0;28/0;26/0;25/0;27/0;30/0;27/0;29/0;28/0;28/0;29/0;
setFeatureOptional[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];41/0;27/0;96/0;90/0;26/0;26/0;26/0;27/0;27/0;26/0;94/0;28/0;27/0;35/0;103/0;33/0;28/0;28/0;28/0;27/1;28/0;27/0;26/0;26/0;91/0;26/0;93/0;25/0;26/0;96/0;108/1;90/0;25/0;25/0;25/0;
createAbstractFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];37/0;37/0;40/0;32/0;24/0;24/0;24/0;26/0;25/0;24/0;25/0;25/0;26/0;25/0;24/0;23/0;28/0;29/0;27/0;26/0;32/0;34/0;29/0;30/1;30/0;36/0;28/0;28/0;28/0;27/0;28/0;26/0;28/0;27/0;27/0;
deleteAbstractFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];62/1;34/0;49/1;51/1;32/0;58/1;51/0;53/1;33/0;34/0;52/1;45/1;46/0;34/0;35/0;34/0;42/1;29/0;47/1;49/0;49/1;57/0;31/0;34/0;62/1;52/1;63/1;47/1;71/1;49/1;54/1;67/0;60/1;54/1;56/1;
changeGroupFromORtoALT[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];47/0;31/0;29/0;26/0;27/0;27/0;28/0;104/0;31/0;28/0;28/0;28/1;29/0;29/0;29/0;28/0;28/0;86/0;28/0;29/0;28/0;108/0;35/0;29/0;33/0;29/0;33/0;103/0;29/1;29/0;100/0;29/0;29/0;28/0;93/0;
createExcludeConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];44/0;43/0;55/0;45/0;28/0;28/0;27/0;29/0;29/0;28/0;27/0;28/0;27/0;28/0;27/0;27/0;40/0;27/0;27/0;26/0;41/0;26/0;27/0;29/0;28/0;46/0;37/0;26/0;27/0;29/0;35/0;29/0;29/0;30/0;30/0;
createRequireConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];45/0;45/0;50/0;46/0;29/0;28/0;29/0;32/0;34/0;30/0;29/0;29/0;29/0;32/0;30/0;31/0;46/0;31/0;29/0;29/0;48/0;30/0;30/0;27/0;28/0;45/0;30/0;30/0;30/0;28/0;28/0;28/0;30/0;29/0;28/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];67/1;36/0;48/1;50/0;28/0;50/1;49/0;51/0;29/0;33/0;52/2;49/0;50/1;29/1;29/1;36/0;46/0;29/0;42/0;46/0;49/1;46/0;36/0;35/0;56/1;43/0;48/1;44/1;75/1;68/1;50/1;53/1;64/0;56/1;77/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];65/1;28/0;27/1;28/0;27/0;27/0;93/1;62/1;36/0;33/0;33/1;32/0;32/0;29/1;29/0;28/0;31/0;29/0;28/0;29/0;30/0;101/1;38/0;32/0;30/0;57/1;32/0;87/0;45/0;31/0;59/1;36/0;34/0;32/0;103/1;
setFeatureAbstract[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];56/0;31/0;31/0;95/0;30/0;30/0;31/0;28/0;28/0;29/0;30/0;33/0;31/0;32/0;30/0;37/0;33/0;38/0;34/0;34/0;114/0;36/0;105/0;36/0;35/0;33/0;34/0;36/0;36/0;39/0;37/0;38/0;35/0;37/0;41/0;
setFeatureMandatory[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];57/0;32/0;107/0;35/0;33/0;32/0;33/0;32/0;31/0;32/0;103/0;40/0;32/0;24/0;23/0;24/0;24/0;25/0;27/0;26/0;81/0;24/0;23/0;74/0;84/0;25/0;24/0;23/0;106/0;26/0;25/0;95/0;96/0;107/0;117/0;
mutuallyExchangeMandatoryAndOptional[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];57/0;40/0;150/0;157/0;26/0;26/0;38/0;32/0;28/0;28/0;161/0;31/1;28/0;27/1;122/0;29/0;28/0;27/0;28/0;25/0;167/0;33/0;27/0;123/0;171/0;30/0;164/0;29/0;175/0;152/0;169/0;188/0;191/0;185/0;194/0;
ReplaceFeature[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3];136/1;47/0;63/1;80/1;36/0;45/1;138/1;115/2;42/0;39/1;56/1;43/0;46/1;36/0;34/0;33/0;55/0;32/0;47/0;44/0;64/1;121/0;42/0;39/0;64/1;152/1;80/1;106/0;83/1;69/1;155/1;83/0;64/1;67/1;225/4;
Generalization_2-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];84/0;33/0;195/0;210/0;36/0;33/0;33/0;32/0;32/0;32/0;187/0;42/0;53/0;48/0;268/0;67/0;42/0;40/0;59/0;41/0;43/0;42/0;42/0;41/0;271/0;48/0;297/0;50/0;57/0;366/0;471/0;447/0;57/0;43/0;44/0;
ExtractALTGroup[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:5];68/0;40/0;42/0;46/0;42/0;41/0;44/0;161/0;51/0;45/0;46/0;1475/11;83/0;53/0;40/0;30/0;29/0;102/0;30/0;31/0;30/0;100/0;28/0;32/0;29/1;41/0;30/1;665/2;35/0;31/0;109/0;35/1;35/0;42/0;125/0;
Refactoring_1-1[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:6];104/1;38/0;52/1;82/0;34/0;47/0;31/0;59/1;34/0;35/0;49/1;38/0;718/3;70/0;33/1;31/0;91/0;38/0;34/0;34/0;100/0;39/0;34/0;34/0;45/1;81/0;44/0;34/0;1656/2;55/0;57/1;61/1;57/0;68/0;84/0;
Refactoring_1-3[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];94/1;47/0;58/1;60/0;36/0;46/0;42/0;56/1;38/0;37/0;49/0;35/1;35/0;33/0;35/0;36/0;44/0;34/1;35/0;43/0;76/0;36/0;33/0;33/0;47/0;44/0;50/1;33/0;40/0;37/0;47/0;38/0;37/0;37/1;54/1;
Refactoring_1-4[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1];81/1;32/0;120/1;121/0;36/0;44/0;40/0;53/0;34/0;33/0;114/1;38/0;32/0;33/0;105/0;33/0;53/0;40/0;37/0;36/1;70/0;36/1;36/0;37/0;140/0;51/1;157/1;36/0;40/0;119/1;131/0;130/1;42/0;43/1;61/1;
Refactoring_1-5[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];85/0;36/1;119/0;128/0;36/0;46/0;34/0;53/1;38/0;36/0;119/1;33/1;33/0;32/1;99/0;34/0;42/1;33/1;32/0;34/0;72/0;38/0;33/0;36/0;140/0;51/0;145/1;39/0;44/1;128/1;125/0;150/0;43/1;43/0;60/0;
Refactoring_1-8[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];91/0;60/0;77/1;81/0;34/0;40/0;33/0;55/0;31/0;30/1;50/0;32/1;32/0;30/0;30/0;30/0;40/0;31/0;30/0;31/0;38/0;31/0;29/0;29/0;41/0;43/0;40/1;32/1;54/1;34/1;42/0;51/0;51/0;54/1;67/1;
Specialization_3-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];68/0;33/0;175/0;36/0;33/0;35/0;37/0;30/0;34/0;32/0;199/0;37/0;35/0;35/0;36/0;32/0;35/0;36/0;39/0;36/0;219/0;39/0;39/0;190/0;210/0;37/0;32/0;34/0;206/0;35/0;33/0;193/1;204/0;197/0;206/0;
Specialization_3-6[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2];80/0;83/0;61/1;33/0;32/0;41/0;56/0;55/0;35/0;37/0;41/0;37/0;45/0;34/0;36/0;34/0;37/0;36/0;36/0;36/1;36/0;332/0;59/0;43/0;43/0;51/0;35/0;122/0;39/0;33/1;50/0;35/1;31/0;32/0;45/1;
Total run times [ms]- normal CPA: 0 essential CPA: 61918 atomic CPA: 293
