\/firstRule / secondRule->;28036_addChild;28038_insertChild;28039_removeChild;28042_removeChildAtIndex;28044_addChildren;28045_XMLElement;28050_createElement;28051_createElement;28052_createElement;28053_createElement;28055_enumerateChildren;28058_getAttributes;28060_getAttributeType;28061_getAttributeType;28062_getAttribute;28063_getAttribute;28064_getAttribute;28065_getAttributeNamespace;28066_getAttributesInNamespace;28068_removeAttribute;28069_setName;28072_setName;28073_setContent;28079_getChildAtIndex;28080_hasAttribute;28081_hasChildren;28082_isLeaf;28083_getChildrenCount;28084_getAttributeCount;28085_getParent;28086_getName;28087_getFullName;28088_getChildren;28094_addChildren;28163_createPCDataElement;28215_setAttribute;28325_setAttribute;28327_enumerateAttributeNames;28335_removeAttribute;28363_addChildren;28364_addChildren;
28036_addChild;306;81;63;62;83;59;61;52;53;61;52;55;60;56;66;76;72;55;49;45;44;47;48;38;38;41;45;46;45;48;44;45;45;50;48;46;50;42;38;42;37;
28038_insertChild;45;36;33;33;35;33;43;36;31;32;37;32;34;30;29;29;30;30;30;33;29;37;35;33;39;37;29;31;28;32;29;29;30;33;31;31;31;34;29;29;28;
28039_removeChild;29;45;170;51;38;45;36;37;38;30;32;30;30;32;31;32;30;31;30;29;31;30;30;31;30;32;31;34;30;30;30;29;30;31;34;31;43;30;33;31;30;
28042_removeChildAtIndex;42;32;30;35;41;33;29;32;29;32;30;29;30;34;32;31;31;31;31;31;30;31;36;31;35;45;32;33;31;30;32;31;31;38;33;30;31;33;36;31;35;
28044_addChildren;31;33;35;34;32;32;32;33;31;39;33;39;40;47;38;39;36;36;40;41;38;42;37;34;45;38;38;39;35;39;41;45;41;42;42;41;42;53;41;44;40;
28045_XMLElement;37;37;39;37;36;35;36;36;33;34;36;38;36;40;35;35;36;33;33;40;35;37;48;41;99;46;40;56;40;35;33;37;39;36;35;35;34;35;34;40;35;
28050_createElement;36;33;34;37;37;51;41;39;45;38;35;32;32;31;33;30;31;39;33;31;32;29;32;33;33;32;32;31;33;31;37;31;31;33;39;32;35;31;31;32;31;
28051_createElement;35;31;31;32;32;27;30;31;33;31;30;32;31;33;33;32;33;31;37;32;28;33;32;40;39;34;36;35;35;35;33;35;33;34;33;36;33;32;32;34;37;
28052_createElement;35;33;32;32;33;36;32;31;30;32;31;43;33;33;33;31;31;31;31;32;30;29;30;30;32;30;31;30;30;32;34;31;31;33;32;31;33;32;32;31;33;
28053_createElement;35;32;32;35;37;35;34;36;36;32;30;33;36;39;41;38;42;38;70;41;39;43;42;38;35;36;46;37;37;37;35;36;35;36;36;36;37;41;43;37;40;
