\/firstRule / secondRule->;28036_addChild;28038_insertChild;28039_removeChild;28042_removeChildAtIndex;28044_addChildren;28045_XMLElement;28050_createElement;28051_createElement;28052_createElement;28053_createElement;28055_enumerateChildren;28058_getAttributes;28060_getAttributeType;28061_getAttributeType;28062_getAttribute;28063_getAttribute;28064_getAttribute;28065_getAttributeNamespace;28066_getAttributesInNamespace;28068_removeAttribute;28069_setName;28072_setName;28073_setContent;28079_getChildAtIndex;28080_hasAttribute;28081_hasChildren;28082_isLeaf;28083_getChildrenCount;28084_getAttributeCount;28085_getParent;28086_getName;28087_getFullName;28088_getChildren;28094_addChildren;28163_createPCDataElement;28215_setAttribute;28325_setAttribute;28327_enumerateAttributeNames;28335_removeAttribute;28363_addChildren;28364_addChildren;
28055_enumerateChildren;36;40;41;38;40;37;36;37;36;33;33;41;38;69;38;53;40;34;32;32;30;31;32;31;31;32;30;33;31;30;31;26;30;30;29;31;30;30;36;32;39;
28058_getAttributes;47;36;40;36;32;33;31;32;32;31;33;33;30;32;30;31;31;33;29;30;28;30;35;30;32;32;31;31;34;34;32;37;33;30;28;28;28;30;29;32;98;
28060_getAttributeType;30;31;32;30;70;27;30;29;31;29;30;31;31;28;30;37;35;30;34;33;30;31;30;29;30;31;30;29;29;30;28;28;30;30;33;28;31;30;29;32;30;
28061_getAttributeType;31;31;30;29;32;31;30;37;35;39;38;36;29;29;29;30;31;29;29;29;28;29;30;29;26;31;28;28;29;29;41;31;33;34;33;32;34;31;51;35;45;
28062_getAttribute;29;32;35;32;34;32;37;30;31;30;33;33;33;32;31;35;32;32;35;36;34;34;33;39;34;43;33;37;38;32;32;33;33;35;33;35;36;32;31;34;37;
28063_getAttribute;31;32;36;32;35;32;35;36;37;30;30;32;34;42;32;37;37;32;30;30;30;26;32;29;34;30;30;31;31;31;29;30;30;33;31;34;30;27;32;31;31;
28064_getAttribute;30;32;38;39;33;36;34;37;33;32;30;35;33;32;30;30;30;30;31;30;32;31;32;29;32;32;34;31;30;31;34;31;32;42;36;33;32;31;30;31;31;
28065_getAttributeNamespace;27;29;31;30;33;30;32;34;29;30;29;31;30;32;32;33;32;33;31;29;30;30;31;42;34;37;36;32;29;32;30;32;34;31;30;31;33;34;30;29;31;
28066_getAttributesInNamespace;29;30;34;29;32;29;30;30;30;29;29;29;31;40;34;41;35;30;31;29;28;31;29;29;28;29;28;30;31;32;27;31;34;37;32;34;30;30;30;32;38;
28068_removeAttribute;30;30;33;42;31;38;35;32;32;29;30;111;68;113;60;113;92;64;62;78;51;50;39;41;71;45;52;44;45;44;45;42;44;39;31;32;56;85;53;44;45;
28069_setName;46;36;37;34;37;35;34;36;34;40;41;41;42;41;41;39;40;38;40;46;36;40;41;51;45;51;47;41;43;42;37;39;38;45;39;39;35;38;40;39;34;
28072_setName;39;38;38;37;40;39;47;38;46;39;37;38;39;36;40;42;43;38;37;39;37;39;35;37;36;38;39;36;36;36;34;36;40;35;41;43;44;42;35;38;38;
28073_setContent;37;36;37;35;36;36;35;35;34;34;34;34;38;34;34;35;35;40;43;47;46;39;36;38;41;37;36;41;33;33;36;33;33;35;34;35;34;36;35;34;37;
28079_getChildAtIndex;40;38;54;43;54;48;48;39;42;40;38;37;35;34;33;34;40;35;35;35;35;35;33;34;34;35;31;35;43;31;39;37;34;38;35;33;35;36;33;34;35;
28080_hasAttribute;33;33;33;33;36;33;33;33;39;34;33;33;33;34;35;40;37;43;36;35;32;32;33;32;32;35;32;33;32;32;33;34;32;36;35;34;35;34;33;34;34;
28081_hasChildren;34;37;43;35;41;38;34;35;37;35;35;38;34;34;33;34;29;39;44;38;33;34;34;34;36;34;33;36;35;33;42;34;37;53;43;42;41;38;40;40;40;
28082_isLeaf;40;43;38;45;43;42;40;46;44;41;40;43;54;48;54;48;41;40;41;43;40;39;46;40;39;39;38;38;39;39;39;37;40;39;42;37;37;39;43;41;39;
28083_getChildrenCount;37;36;38;36;37;37;37;36;39;36;36;37;36;34;35;35;34;35;36;34;35;41;36;37;45;35;35;34;35;36;34;34;33;37;35;36;31;34;35;37;36;
28084_getAttributeCount;38;31;37;56;37;38;39;47;38;46;41;35;39;36;42;31;39;32;43;43;34;35;36;35;36;35;34;36;29;36;36;40;36;45;44;47;48;41;43;41;40;
28085_getParent;39;40;35;45;36;37;37;40;38;38;34;34;34;35;35;35;34;45;46;45;36;33;32;29;33;33;35;36;42;35;34;33;33;34;35;33;37;34;30;36;34;
28086_getName;34;34;32;35;37;32;37;34;34;34;34;35;43;37;34;34;33;33;34;35;34;33;33;33;34;32;33;33;33;38;34;33;40;36;34;35;31;32;33;33;34;
28087_getFullName;33;33;31;35;38;32;32;32;33;33;32;32;34;34;33;32;36;33;34;36;40;40;48;40;34;35;33;33;32;33;33;34;34;34;33;34;34;33;37;34;33;
28088_getChildren;33;33;34;34;34;32;32;45;34;36;41;36;38;42;39;35;34;35;36;34;35;37;34;32;33;32;33;33;34;33;41;41;36;34;37;42;35;42;36;35;35;
28094_addChildren;33;33;34;34;34;42;33;34;33;34;34;35;32;33;34;34;37;36;38;44;55;75;49;63;56;67;60;43;42;44;40;40;44;42;40;38;42;45;51;42;42;
28163_createPCDataElement;47;41;51;43;53;41;41;38;39;40;40;38;37;38;37;37;33;45;40;46;38;37;36;37;44;43;48;44;33;37;39;37;37;37;40;39;37;37;36;36;36;
28215_setAttribute;35;36;38;47;39;36;39;40;47;35;46;41;44;38;37;36;39;37;37;34;37;42;38;43;43;39;35;36;36;36;36;34;34;40;38;38;45;43;39;36;34;
28325_setAttribute;38;35;37;34;36;37;36;35;35;34;34;35;33;41;36;42;35;42;40;41;37;46;37;39;38;34;31;39;37;36;38;39;36;37;36;37;31;36;36;38;39;
28327_enumerateAttributeNames;35;38;35;44;44;35;42;39;38;32;33;34;34;33;34;38;35;36;33;37;36;38;34;36;34;33;34;37;34;35;36;39;43;37;42;36;33;31;33;35;34;
28335_removeAttribute;36;35;29;35;34;32;33;34;35;34;37;75;63;75;70;101;86;64;75;60;46;42;37;37;56;40;34;35;32;34;32;40;35;43;41;37;70;101;79;50;48;
28363_addChildren;53;38;39;39;41;42;44;39;40;38;40;41;41;53;48;61;48;48;44;39;38;39;41;44;41;39;38;40;39;42;38;39;40;41;39;38;42;40;38;45;46;
28364_addChildren;39;38;43;33;37;37;35;36;36;36;34;40;33;36;32;36;37;40;42;39;37;44;37;34;38;41;36;37;46;45;35;35;35;42;37;36;35;36;36;37;35;
SUM:;=SUMME(B2:CCC42);
TIMEOUTS:;=ZÄHLENWENN(B2:CCC42."TO");
MAXIMUM:;=MAX(B2:CCC42);
AVERAGE:;=MITTELWERT(B2:CCC42);
