D-U-CONFLICTS - normalCPs/essentialCPs / conflictAtoms / Candidates / Minimal Reasons;[#LhsNode:6 ,#LhsEdges:7 ,#deleteNodes:3 ,#deleteEdges:5]decapsulateAttribute;[#LhsNode:8 ,#LhsEdges:9 ,#deleteNodes:0 ,#deleteEdges:3]pullUpEncapsulatedAttribute;
decapsulateAttribute;6/3/3/5/2;6/3/3/5/2;
pullUpEncapsulatedAttribute;19/3/5/5/1;17/0/5/5/1;
Total amount of rsults - normal CPs: 48 essential CPs: 9 atomic CPs: 16 conflictAtomCandidates: 20 minimalConflictReasons: 6
