D-U-CONFLICTS-normal/essential/atomic;decapsulateAttribute;pullUpEncapsulatedAttribute;
decapsulateAttribute;5/3/3;6/3/3;
pullUpEncapsulatedAttribute;7/0/5;14/0/5;
