RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];decapsulateAttribute;pullUpEncapsulatedAttribute;
decapsulateAttribute;476/81/46;360/74/39;
pullUpEncapsulatedAttribute;368/59/8;1655/26/6;
