RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
ExtractALTGroup[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:5];50/50/5;39/42/0;18/17/1;20/18/0;19/17/1;18/22/0;23/24/0;1389/157/0;49/30/1;28/30/0;27/30/1;587/490/14;56/60/1;38/55/1;36/39/0;23/22/0;24/22/1;76/73/0;23/23/0;20/21/1;31/50/0;361/86/0;25/20/0;20/24/0;21/22/0;21/21/0;22/21/0;13899/517/5;63/50/0;30/22/1;1831/137/0;41/25/0;27/24/0;26/31/0;1509/157/0;
Refactoring_1-1[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:6];183/60/3;73/27/0;139/43/1;58/31/1;25/26/1;82/40/0;30/27/1;123/51/1;34/27/0;26/27/0;106/44/1;30/30/0;761/461/3;62/30/0;24/27/0;24/24/0;64/39/1;27/27/0;24/23/0;28/27/0;61/40/0;29/27/0;24/25/0;25/26/0;75/39/1;77/45/1;69/32/0;25/25/1;4248/1428/4;136/44/1;116/47/1;112/49/1;133/61/0;130/57/1;250/93/2;
Refactoring_1-3[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];161/71/1;44/37/0;105/51/1;85/48/1;36/34/0;86/52/1;36/39/0;112/51/1;40/38/0;28/29/1;83/41/1;29/29/0;28/28/0;29/27/0;27/29/0;37/31/0;62/37/0;28/27/0;27/29/0;34/31/1;62/32/0;30/28/1;27/28/0;27/28/0;82/38/1;86/38/1;96/47/1;38/28/0;86/35/1;85/38/1;107/47/0;80/37/1;78/36/1;77/37/1;170/70/1;
Refactoring_1-4[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1];230/61/1;37/35/1;525/134/1;265/132/0;37/35/0;100/49/1;37/35/0;191/55/1;42/36/0;29/30/1;547/106/1;35/35/1;36/35/0;33/33/0;129/136/0;35/34/0;82/43/1;33/33/0;34/33/0;33/35/0;72/40/1;34/37/1;44/38/0;33/35/0;320/127/1;116/46/0;480/147/1;51/36/0;107/42/1;374/109/1;1688/151/1;575/123/0;100/39/1;79/40/1;248/50/1;
Refactoring_1-5[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];163/72/1;44/36/0;545/116/1;224/123/0;37/34/0;91/45/0;37/36/0;116/58/0;42/35/0;32/34/0;527/132/1;47/33/0;30/28/0;30/28/0;91/92/0;29/39/0;94/50/0;36/45/0;38/35/0;35/31/0;67/35/1;32/31/0;31/31/0;32/30/0;345/132/1;93/45/0;345/158/1;43/41/0;111/43/0;305/115/1;617/134/1;530/130/1;99/39/0;82/48/0;154/63/1;
Refactoring_1-8[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];160/56/0;42/39/0;140/51/1;84/37/0;35/31/0;83/44/1;36/32/0;127/54/0;38/34/0;34/36/0;124/51/0;40/37/0;37/32/0;33/32/0;33/33/1;32/35/0;75/40/1;36/42/1;53/35/0;47/40/0;86/54/1;35/38/1;34/36/0;31/33/0;93/47/0;84/43/1;75/55/0;36/45/0;210/68/0;94/42/0;130/53/1;137/60/0;125/53/1;118/68/0;250/81/1;
Specialization_3-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];93/48/0;37/32/0;710/187/0;41/33/0;38/33/0;34/32/1;30/32/0;49/33/0;34/31/0;30/36/0;633/181/0;39/31/0;34/35/0;33/30/0;31/31/0;36/35/0;33/34/0;32/31/0;30/30/1;30/31/0;342/198/0;44/41/0;36/39/0;165/159/0;739/247/0;44/66/0;43/47/0;42/40/0;920/240/0;50/37/0;30/31/0;662/232/0;811/277/0;867/224/0;1258/261/0;
Specialization_3-6[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2];1101/80/1;51/43/0;41/37/0;37/41/0;36/36/0;36/38/0;470/62/1;1387/64/0;47/43/1;40/42/0;41/47/1;48/42/0;41/37/0;39/37/0;39/42/0;43/46/0;48/48/1;45/40/1;45/43/0;38/42/0;41/59/1;1500/222/0;120/52/0;45/49/0;47/48/0;386/66/0;53/47/0;1437/79/0;59/62/1;50/36/1;2661/54/1;59/49/1;42/42/0;53/49/0;7015/62/1;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
