RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];52/64/7;43/41/0;23/20/0;21/20/0;23/23/0;21/21/1;22/20/1;21/21/1;22/23/0;22/21/0;22/21/0;22/22/0;26/24/0;21/21/0;19/20/1;21/21/0;20/20/0;19/19/0;19/19/0;19/19/0;22/21/1;21/24/0;24/20/0;18/20/0;19/20/0;19/19/0;19/20/0;20/21/0;21/20/0;21/20/0;19/19/0;19/19/0;20/20/0;20/19/0;20/21/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];39/21/0;18/19/0;18/19/0;18/18/0;18/18/0;20/18/0;20/19/0;19/19/0;23/19/0;30/15/0;15/17/0;15/17/0;17/16/0;15/14/0;15/16/0;15/15/0;18/16/0;15/16/0;16/18/0;15/14/0;17/15/0;17/16/0;16/16/0;15/17/0;16/18/0;16/17/0;16/16/0;17/17/0;16/17/1;18/17/0;17/16/1;17/18/0;15/21/0;19/17/1;15/16/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];27/17/0;18/17/0;17/17/0;17/17/0;18/17/0;18/21/0;19/18/0;19/18/0;27/20/0;20/19/0;21/19/1;21/22/0;21/21/0;19/20/0;23/20/0;20/24/0;26/20/0;21/19/0;22/22/0;26/20/0;25/24/0;26/24/0;22/22/0;22/20/0;22/22/0;23/21/0;21/21/0;21/21/0;21/24/0;21/21/0;24/29/0;32/29/0;24/25/0;24/22/1;26/26/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];230/84/5;61/34/0;89/76/3;92/68/1;28/24/1;67/50/1;141/76/1;137/68/2;24/23/1;49/29/0;72/53/3;95/48/1;93/50/1;44/21/1;55/30/1;98/48/1;87/52/1;26/34/0;141/52/0;91/43/0;85/51/1;106/50/1;67/40/1;60/30/0;104/59/2;88/58/1;94/61/1;112/72/2;160/72/2;79/50/2;81/54/3;77/51/2;112/73/1;101/54/2;109/92/1;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];53/31/1;24/22/0;23/24/1;24/22/0;24/24/0;23/25/0;25/23/0;23/24/0;25/24/0;22/23/0;26/24/0;24/26/0;24/24/0;24/23/0;23/23/0;22/23/0;23/23/0;23/21/0;23/23/0;23/24/0;21/23/0;23/22/0;22/22/0;24/25/0;23/22/0;23/24/0;23/26/0;24/24/0;24/24/0;24/22/0;23/24/0;24/23/0;24/24/0;23/28/0;26/30/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];95/43/3;59/25/0;85/43/0;63/33/0;28/28/1;68/35/0;29/27/0;90/46/0;29/28/0;26/28/0;93/47/0;41/32/0;31/33/0;30/33/0;36/32/0;31/32/0;71/40/0;33/33/0;28/31/0;31/23/0;84/37/0;27/28/0;26/25/0;24/24/0;81/41/1;65/33/1;80/42/1;29/25/1;116/61/1;107/43/0;98/49/1;96/45/0;75/37/0;86/42/0;171/65/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];99/44/0;30/28/0;27/28/0;29/28/0;28/29/1;34/35/0;104/64/1;88/47/0;32/28/0;24/24/0;23/22/1;23/23/0;23/23/0;24/26/0;22/22/0;22/22/0;23/23/1;24/23/2;22/23/0;23/22/1;25/23/0;53/35/1;26/24/0;24/25/0;24/24/0;59/34/1;25/24/0;56/35/0;24/23/0;23/22/1;55/33/1;23/23/0;22/24/0;24/24/0;64/33/1;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];40/32/0;27/26/0;29/24/0;33/28/0;23/27/0;30/27/0;27/31/0;27/27/0;28/28/0;27/26/0;30/28/0;26/24/0;28/31/0;32/32/0;35/26/0;27/28/0;28/28/0;26/26/0;25/26/0;27/25/0;27/27/0;26/26/0;26/28/0;29/30/0;29/29/0;29/27/0;29/27/0;29/25/0;24/26/1;24/25/0;24/25/0;25/24/0;25/24/0;25/23/0;24/24/0;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];129/81/0;24/26/0;27/27/0;28/28/0;22/23/0;23/23/0;74/75/0;23/24/0;76/74/0;24/27/0;24/23/0;24/24/0;23/22/0;25/25/0;22/25/0;29/31/0;29/30/0;26/26/0;23/24/0;25/24/0;25/24/0;24/24/0;24/23/0;24/25/0;25/24/0;22/23/0;23/23/0;23/24/0;24/24/1;23/26/0;23/23/0;23/24/0;24/24/0;24/24/0;23/26/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];37/23/1;23/23/0;23/26/0;24/24/0;23/23/0;23/22/0;33/29/0;27/37/0;33/25/0;27/34/1;28/29/0;41/30/0;43/59/0;32/45/0;36/32/0;29/30/0;30/38/0;35/35/0;35/29/0;36/35/0;29/43/0;36/27/1;27/26/0;27/27/0;38/37/0;34/29/0;30/31/0;31/28/0;31/26/0;27/26/0;25/26/0;25/25/0;26/26/0;26/26/0;34/29/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];44/29/0;24/27/0;27/27/0;28/29/0;24/24/0;27/25/0;25/25/1;27/25/0;24/24/0;24/24/0;25/24/0;27/25/0;26/30/0;27/24/1;25/24/0;26/27/0;26/26/0;25/27/0;24/27/0;27/28/0;27/27/0;29/30/1;28/27/0;26/30/0;29/31/0;28/26/0;27/28/0;28/27/0;29/28/0;28/27/0;28/27/1;27/28/0;28/29/0;28/30/0;27/28/1;
