RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-5;Refactoring_1-8;PushDownGroup;Specialization_3-4;Specialization_3-6;
deleteAbstractFeature_IN_Feature;71/1;35/1;53/1;46/1;35/0;51/1;54/1;41/0;38/0;55/1;47/1;46/1;35/1;32/1;36/0;51/1;30/1;49/1;53/0;46/0;34/0;36/0;62/1;52/0;59/1;51/1;71/1;51/1;64/1;49/1;85/2;59/2;82/1;
changeGroupFromORtoALT;48/0;25/1;25/0;25/0;24/0;25/0;81/0;24/0;24/0;23/0;24/0;24/0;25/0;25/0;23/0;23/0;74/0;25/0;24/0;27/0;24/0;32/0;25/0;28/0;30/0;91/0;26/0;24/0;23/0;23/0;88/0;25/0;88/0;
createExcludeConstraint_IN_FeatureModel;41/0;41/0;42/0;24/0;24/0;24/0;25/0;26/0;25/0;25/0;26/0;28/0;24/0;25/0;26/0;25/0;27/0;25/0;29/0;36/0;42/0;38/0;35/0;32/0;32/0;32/0;35/1;28/0;28/0;28/0;27/0;28/0;27/0;
createRequireConstraint_IN_FeatureModel;43/0;43/0;45/0;27/0;82/0;32/0;34/0;46/0;28/0;29/0;28/0;29/0;27/0;29/0;27/0;31/0;26/0;26/0;27/0;27/0;27/1;25/0;27/0;26/0;27/0;27/0;29/0;26/0;29/0;26/0;28/0;25/0;27/0;
deleteConcreteFeature_IN_Feature;64/1;33/0;50/1;46/0;26/0;41/1;48/1;28/0;32/1;51/1;44/1;48/0;30/0;29/0;33/1;43/1;26/0;41/1;44/0;50/1;38/0;35/0;50/1;60/1;64/1;51/0;68/1;68/1;68/1;63/0;82/1;66/0;70/2;
setFeatureAbstract;52/0;27/0;31/0;105/0;25/0;26/0;25/0;25/0;25/0;25/0;25/0;28/0;26/0;25/0;26/0;24/0;29/0;25/0;25/0;85/0;87/0;25/0;26/0;28/0;27/0;25/0;27/0;27/0;29/0;28/1;26/0;28/0;26/0;
setFeatureMandatory;38/0;32/0;102/0;28/0;28/0;28/0;27/0;29/0;32/0;104/0;29/0;32/0;32/0;33/0;30/0;32/0;30/0;30/0;61/0;147/0;29/0;93/0;113/0;30/0;28/0;30/0;118/0;28/1;100/0;104/0;30/0;100/0;115/0;
mutuallyExchangeMandatoryAndOptional;44/0;27/0;154/0;158/0;27/0;29/0;27/0;27/0;28/0;159/0;28/0;26/0;29/0;130/0;30/0;43/0;28/0;29/0;29/0;198/0;32/0;154/0;212/0;31/0;190/0;36/0;238/0;168/0;176/0;189/0;35/0;180/0;197/0;
ReplaceFeature;142/2;44/0;63/1;59/1;35/0;65/0;138/2;33/0;44/0;59/2;56/1;56/1;49/0;44/0;41/0;53/1;31/0;55/0;57/0;59/1;48/0;59/0;86/2;101/1;77/1;66/1;88/1;60/1;75/1;64/0;190/6;79/1;160/4;
Generalization_2-4;66/0;47/0;174/0;192/0;36/0;35/0;36/0;39/0;29/0;152/0;29/0;33/0;32/0;149/0;27/0;34/0;26/0;27/0;28/0;30/0;28/0;27/0;179/0;29/0;174/0;30/0;28/0;152/0;173/0;29/0;30/0;30/0;29/0;
ExtractALTGroup;48/0;28/0;30/0;28/0;27/0;29/0;105/0;29/0;30/0;30/0;318/1;57/0;36/0;31/0;32/0;34/0;113/0;34/0;32/0;32/0;32/0;31/0;32/0;35/0;33/0;531/1;39/0;37/0;28/0;31/0;110/0;30/0;104/0;
Refactoring_1-1;85/1;30/0;43/1;34/0;27/0;42/0;57/0;29/1;35/0;44/1;27/0;479/2;51/0;34/0;30/1;56/1;30/0;29/0;33/0;41/1;30/0;28/0;44/0;43/0;37/0;31/0;1732/2;67/0;68/1;69/0;130/2;70/1;89/1;
Refactoring_1-3;93/0;37/0;47/0;47/0;40/0;44/0;57/1;39/0;38/1;52/0;38/0;36/0;38/0;34/1;34/0;48/1;36/1;36/0;41/0;49/0;37/0;48/1;51/1;58/1;68/1;40/0;55/1;45/1;41/0;49/0;95/1;48/0;55/1;
Refactoring_1-5;93/1;38/0;133/1;134/1;40/0;49/1;73/1;38/0;35/0;140/1;49/1;61/0;36/1;151/0;36/0;46/1;37/0;37/0;41/1;42/1;31/1;36/0;130/1;75/0;184/1;40/0;45/1;129/1;141/0;41/0;112/1;46/1;69/1;
Refactoring_1-8;83/0;67/0;73/0;37/0;38/0;44/0;64/0;38/0;37/0;55/1;36/0;35/0;34/1;36/0;32/0;43/0;35/0;32/1;42/0;49/0;38/0;39/0;48/0;45/0;42/0;38/0;79/1;56/0;55/1;49/0;98/1;77/0;81/0;
PushDownGroup;622/1;54/0;135/1;67/1;46/0;90/1;546/2;53/0;34/1;139/1;64/0;38/0;39/0;34/1;33/0;59/1;36/1;37/1;40/0;73/1;45/1;39/0;130/0;285/1;150/1;296/1;179/1;142/1;122/1;104/0;1233/4;163/0;780/2;
Specialization_3-4;115/0;48/1;201/0;38/0;37/0;42/0;43/0;35/0;37/0;199/0;36/0;36/0;38/0;38/0;40/0;35/0;35/0;36/0;36/1;222/0;36/0;183/0;213/0;39/0;34/0;37/0;222/0;38/0;231/0;206/0;34/0;200/0;203/0;
Specialization_3-6;93/1;64/0;65/1;34/1;31/0;33/0;47/1;37/0;34/0;39/1;41/0;41/0;51/0;42/0;39/0;38/1;34/0;33/0;38/0;33/0;32/0;36/0;33/0;47/1;33/0;75/1;43/0;37/0;37/0;37/0;57/1;45/0;54/1;
