RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
deleteExcludeConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];34/0;20/0;22/0;22/0;20/0;20/0;21/0;25/0;21/0;22/0;21/0;321/2;28/0;24/0;23/0;28/0;23/0;23/1;23/0;23/0;21/0;22/0;23/0;22/0;23/0;24/0;22/0;327/2;41/0;32/0;25/0;23/0;24/0;25/0;24/0;
deleteRequireConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];35/0;29/0;24/0;25/0;24/0;24/0;24/0;24/0;24/0;22/0;25/0;27/0;316/2;46/0;32/0;30/0;25/0;26/0;25/0;24/0;27/0;25/1;25/1;24/0;24/0;23/0;25/0;22/0;437/4;44/0;27/0;27/0;26/0;26/0;25/0;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];44/0;25/0;25/0;25/0;24/0;23/0;25/0;26/0;31/0;24/0;24/0;24/1;25/0;72/0;25/1;23/0;79/0;24/1;24/0;24/0;23/0;24/0;23/0;23/0;24/0;24/0;23/0;24/0;24/0;25/0;24/0;23/0;24/0;26/0;25/0;
setFeatureOptional[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];39/0;22/0;85/0;81/0;23/0;23/0;23/0;25/0;24/0;23/0;90/0;24/0;23/1;22/0;73/0;23/0;24/0;21/0;23/0;23/0;25/0;25/0;22/0;23/0;87/0;26/0;90/0;26/0;24/0;93/0;97/0;93/0;30/0;25/0;24/0;
createAbstractFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];41/0;35/0;44/0;24/0;24/0;23/0;26/0;25/1;25/0;24/0;24/0;28/1;25/0;23/1;23/0;24/0;26/0;24/0;24/0;24/1;32/0;25/0;24/0;24/0;25/0;25/0;26/0;27/1;29/0;27/0;26/0;25/0;25/0;26/0;26/0;
deleteAbstractFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];56/1;31/0;46/1;41/1;27/1;44/0;51/0;45/1;27/0;29/1;44/1;43/0;41/1;35/1;35/1;32/1;44/0;22/0;44/1;43/0;45/1;46/0;28/1;34/1;50/1;46/1;52/1;54/1;94/1;70/1;70/2;68/1;51/0;63/1;93/1;
changeGroupFromORtoALT[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];55/0;27/0;27/0;27/1;27/0;27/0;28/0;88/0;28/0;28/0;27/0;26/0;27/0;26/0;28/0;29/0;25/0;77/0;27/0;25/0;26/0;82/0;25/0;25/0;25/0;26/0;26/0;88/0;26/0;25/0;83/0;26/0;25/0;24/0;89/0;
createExcludeConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];45/0;39/0;41/1;26/0;24/0;24/0;25/0;27/0;26/0;27/0;25/0;26/0;26/0;25/0;24/0;24/0;25/0;25/0;26/0;26/0;26/0;32/1;26/0;25/0;24/0;26/0;26/0;27/1;27/0;29/0;25/0;25/0;26/0;25/0;27/0;
createRequireConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];41/0;39/0;46/0;25/0;26/0;25/0;27/0;27/0;28/0;27/0;26/0;29/0;29/0;29/0;30/0;26/0;28/0;26/0;25/0;24/0;26/0;26/0;27/0;25/0;26/0;26/0;26/0;28/0;27/0;27/0;27/0;33/0;26/0;26/0;28/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];77/1;40/1;54/1;51/0;30/0;47/1;51/1;59/1;34/0;36/0;50/1;52/0;48/0;36/0;31/1;38/1;51/0;32/0;51/0;50/0;49/1;48/0;35/1;36/0;51/1;53/0;56/1;46/1;64/1;55/0;60/1;62/1;62/1;55/1;82/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];57/1;27/0;26/0;26/0;27/0;27/0;31/0;38/1;28/0;26/0;26/0;25/0;25/1;25/0;26/0;28/0;25/1;24/1;24/0;24/0;25/1;50/1;30/1;26/0;26/0;38/1;27/1;53/1;32/0;27/0;39/1;28/0;26/0;26/0;54/0;
setFeatureAbstract[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];46/0;26/0;26/0;90/0;26/0;27/0;28/0;27/0;30/0;28/0;27/0;27/0;26/0;25/0;25/0;25/0;25/0;25/0;27/0;26/0;86/0;26/0;81/0;26/0;27/0;32/0;31/0;26/0;28/0;28/0;27/0;29/0;26/0;26/1;29/0;
setFeatureMandatory[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];44/0;26/0;93/0;28/0;26/0;26/0;26/0;27/0;27/0;26/0;94/0;34/0;31/0;29/0;27/0;28/0;28/0;27/0;26/0;26/0;88/0;28/0;26/0;88/0;90/1;27/0;28/0;27/0;113/0;34/0;36/0;96/0;112/0;113/0;124/0;
mutuallyExchangeMandatoryAndOptional[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];52/0;43/0;168/0;183/0;34/0;32/0;30/0;30/0;30/0;31/1;162/0;30/0;30/0;31/0;128/0;30/0;30/0;29/0;30/0;29/0;169/0;29/0;28/0;125/0;163/0;27/0;161/0;26/0;169/0;165/0;151/0;161/0;164/0;157/0;162/0;
ReplaceFeature[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3];106/1;38/1;49/2;42/1;27/0;46/1;73/0;82/2;34/0;33/0;48/2;43/1;44/0;36/0;34/0;34/0;45/1;32/0;46/0;44/0;47/1;70/0;41/0;36/1;59/1;74/1;58/1;54/1;60/1;45/1;76/1;56/1;50/1;60/1;129/2;
Generalization_2-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];74/0;34/0;171/0;191/0;34/0;32/0;32/0;34/0;31/0;39/0;180/0;38/0;34/0;33/0;139/0;33/0;33/0;30/0;31/0;31/0;31/0;32/0;31/0;31/0;175/0;33/0;172/0;33/0;31/0;145/0;145/1;167/0;31/1;32/0;33/0;
ExtractALTGroup[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:5];46/0;30/0;30/0;33/0;32/0;33/0;31/0;104/0;31/0;29/0;30/0;298/1;47/0;41/0;33/0;25/0;25/0;88/0;36/0;30/0;27/0;97/0;30/0;26/0;28/0;29/0;29/0;485/2;33/0;34/0;117/0;33/1;30/0;30/0;116/0;
Refactoring_1-1[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:6];83/1;35/0;49/1;38/0;31/0;46/0;31/1;56/0;35/0;29/0;48/0;32/1;432/2;59/0;34/0;32/0;47/0;39/0;29/0;30/0;38/0;28/1;28/0;25/0;41/0;41/0;31/1;25/0;1443/1;55/1;48/1;47/1;55/1;66/0;77/1;
Refactoring_1-3[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];88/1;37/0;41/0;40/1;28/0;40/0;30/0;46/1;31/1;27/0;41/1;31/0;31/0;28/0;30/0;29/1;39/1;31/0;31/0;29/0;33/0;30/0;29/0;29/1;40/0;39/0;48/0;31/0;38/0;34/0;42/0;36/0;36/0;37/0;54/1;
Refactoring_1-4[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1];73/0;32/0;107/0;123/0;32/0;45/0;42/1;50/0;33/0;31/0;120/1;31/1;34/0;30/0;96/0;31/1;42/0;30/0;29/0;29/1;33/0;30/0;29/0;29/0;109/1;47/1;130/0;30/0;37/1;95/0;102/0;124/0;38/1;38/0;54/1;
Refactoring_1-5[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];82/0;36/1;120/0;115/0;35/0;50/0;35/0;55/0;38/0;35/0;121/1;37/0;36/0;36/0;106/1;34/0;45/0;35/0;33/1;34/0;39/1;43/0;34/0;31/0;120/0;49/0;136/1;34/1;40/0;114/1;111/0;113/0;36/0;41/0;71/0;
Refactoring_1-8[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];85/0;55/0;68/0;37/1;26/1;35/0;29/0;44/0;28/0;26/1;38/1;32/0;26/1;26/0;26/0;27/0;35/1;33/0;29/0;26/1;34/0;27/0;28/0;27/1;40/0;39/0;31/1;28/0;50/0;33/1;39/1;39/0;39/0;45/0;56/0;
Specialization_3-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];58/0;28/0;154/0;28/0;27/0;28/0;28/0;29/0;27/0;27/0;160/0;29/0;27/0;27/0;26/0;28/0;28/0;27/0;26/0;27/0;167/0;28/0;28/0;135/0;157/0;29/0;27/0;27/0;175/0;29/1;28/0;166/0;164/0;166/0;177/0;
Specialization_3-6[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2];67/1;51/0;51/1;28/1;28/0;28/0;38/0;43/0;35/0;36/0;35/0;32/1;33/1;34/0;35/0;33/0;33/0;32/1;33/0;33/0;33/0;138/0;46/0;36/1;37/0;50/1;41/0;91/0;47/0;41/0;59/0;45/0;38/1;38/0;61/1;
Total amount of rsults - normal CPs: 0 essential CPs: 261 atomic CPs: 388 conflictAtomCandidates: 528 minimalConflictReasons: 297
