D-U-CONFLICTS - normalCPs/essentialCPs / conflictAtoms / Candidates / Minimal Reasons;decapsulateAttribute;pullUpEncapsulatedAttribute;
decapsulateAttribute;5/3/3/5/2;6/3/3/5/2;
pullUpEncapsulatedAttribute;7/0/5/5/1;14/0/5/5/1;
