RUNTIME-normalCPs/essentialCPs/conflictAtoms/Candidates/Minimal Reasons[ms];decapsulateAttribute;pullUpEncapsulatedAttribute;
decapsulateAttribute;588/77/57;353/59/27;
pullUpEncapsulatedAttribute;352/86/8;1682/24/6;
