RUNTIME-normal/essential/atomic[ms];decapsulateAttribute;pullUpEncapsulatedAttribute;
decapsulateAttribute;469/79/64;321/56/25;
pullUpEncapsulatedAttribute;343/79/7;1717/25/4;
