D-U-CONFLICTS - normalCPs/essentialCPs / conflictAtoms / Candidates / Minimal Reasons;removeSuperClass;removeGeneralization;
removeSuperClass;1/0/1 / 2 / 0;1/0/1 / 2 / 0;
removeGeneralization;1/1/1 / 1 / 1;1/1/1 / 1 / 1;
