RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];decapsulateAttribute;pullUpEncapsulatedAttribute;
decapsulateAttribute[#LhsNode:6 ,#LhsEdges:7 ,#deleteNodes:3 ,#deleteEdges:5];1072/193/48;674/197/37;
pullUpEncapsulatedAttribute[#LhsNode:8 ,#LhsEdges:9 ,#deleteNodes:0 ,#deleteEdges:3];16068/3802/17;16608/3466/3;
Total run times [ms]- normal CPA: 34422 essential CPA: 7658 atomic CPA: 105
