RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
deleteExcludeConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];32/0;21/1;24/0;22/0;21/0;21/0;22/0;21/0;21/1;21/0;22/0;531/3;36/1;33/0;29/0;30/1;30/0;29/0;27/0;30/0;29/0;27/1;27/0;27/0;31/0;28/0;26/0;552/3;55/0;35/0;34/0;26/0;24/0;25/0;24/1;
deleteRequireConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];42/0;31/0;25/0;24/0;24/0;24/0;24/0;25/0;23/0;34/0;38/0;38/0;562/3;53/0;28/0;26/0;28/0;28/0;27/0;34/0;28/0;29/1;28/0;27/0;36/0;31/0;31/0;29/0;624/3;43/0;36/0;35/0;26/0;27/0;32/0;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];48/0;25/0;25/0;26/0;25/0;25/0;26/0;26/0;26/0;26/0;26/0;27/0;26/0;82/0;26/0;26/0;86/0;26/1;24/0;25/0;24/0;25/1;26/0;27/0;24/1;25/0;24/0;25/0;24/0;24/1;25/0;24/0;25/0;25/0;26/0;
setFeatureOptional[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];39/0;23/0;84/1;84/0;24/0;24/0;23/0;26/0;24/0;24/0;98/0;25/0;25/0;25/0;90/0;27/0;33/0;27/0;27/0;27/0;26/0;28/0;26/0;27/0;100/0;29/0;101/0;29/0;30/0;101/0;111/0;113/0;29/0;27/0;27/0;
createAbstractFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];42/0;41/0;44/0;28/0;28/0;27/0;27/0;26/0;26/0;28/0;27/0;28/0;27/0;28/0;26/0;25/0;26/0;26/0;27/0;27/0;26/0;25/0;26/0;26/0;27/0;26/0;27/0;28/0;27/0;28/0;27/0;26/0;26/0;31/0;29/0;
deleteAbstractFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];69/1;37/0;56/1;48/1;29/0;54/1;53/1;52/2;32/0;38/0;56/1;48/1;55/1;49/0;39/0;41/1;56/1;35/0;51/0;46/0;49/1;50/1;29/0;34/0;60/1;51/1;59/1;47/1;93/1;60/1;49/2;63/1;61/1;56/1;69/1;
changeGroupFromORtoALT[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];47/0;31/0;27/0;26/0;26/0;25/0;27/0;89/0;25/0;25/0;32/0;25/0;25/0;25/0;25/0;25/0;25/0;80/0;25/0;24/0;24/0;81/0;27/0;29/0;30/0;27/0;25/0;83/0;26/0;24/0;82/0;32/0;25/0;25/0;93/0;
createExcludeConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];44/0;44/0;50/0;28/0;31/0;33/0;31/0;29/0;31/0;29/0;81/1;91/0;95/0;101/0;102/0;84/0;84/0;83/0;107/0;104/0;103/1;98/0;106/0;87/0;101/0;110/0;105/0;94/0;111/0;121/0;113/0;116/0;138/0;101/0;136/0;
createRequireConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];158/0;219/0;102/0;32/0;31/0;40/0;40/0;39/0;34/0;30/0;30/0;39/0;36/0;31/0;31/0;32/0;32/0;30/0;35/0;30/0;38/0;31/0;33/0;29/1;30/0;36/0;31/0;33/0;32/0;31/0;42/0;30/0;30/0;32/0;29/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];74/1;41/0;58/2;51/1;28/1;45/1;52/0;73/2;33/0;35/0;47/1;45/0;48/0;31/0;28/0;35/0;46/0;29/0;43/0;44/1;46/1;45/0;35/0;38/1;52/1;47/1;59/1;44/1;83/1;55/1;51/1;63/0;63/1;69/1;88/2;
