RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];58/6;62/0;46/0;18/0;17/0;18/0;19/0;22/0;20/0;20/0;19/0;23/0;20/0;21/0;19/0;23/0;28/0;24/0;27/0;31/0;23/0;27/1;23/0;27/0;23/0;21/0;19/0;20/0;21/0;20/0;24/1;20/0;20/0;18/1;19/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];37/0;18/0;18/0;19/0;17/0;18/0;18/0;18/0;18/0;18/0;18/0;18/0;17/0;16/0;18/0;17/0;17/0;18/0;19/0;18/0;17/0;18/0;19/0;28/0;16/0;16/0;17/0;17/0;18/0;14/1;14/0;16/0;17/0;15/1;16/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];26/0;17/0;16/0;16/0;15/0;16/0;14/0;16/0;16/0;15/0;16/1;15/0;15/1;15/0;15/0;15/0;15/1;15/0;15/0;17/0;15/0;16/1;16/0;17/0;18/0;22/0;20/0;14/1;18/0;16/0;15/0;16/0;17/0;15/0;16/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];261/5;49/0;55/2;64/1;22/0;50/1;50/1;63/2;27/1;32/1;57/3;50/2;54/1;25/1;35/1;38/1;63/2;26/0;50/1;65/1;61/1;50/1;50/0;21/0;58/2;61/1;89/2;65/1;78/2;57/2;73/4;77/2;90/1;51/2;84/2;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];48/0;23/0;23/0;25/0;23/0;22/0;24/0;23/0;23/0;23/0;23/0;22/1;26/0;24/0;23/0;25/1;24/0;24/0;28/0;23/0;23/0;22/0;24/0;22/0;23/0;23/0;24/0;22/0;22/0;22/0;22/0;24/0;24/0;21/0;23/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];50/2;48/1;41/0;31/0;22/0;29/1;22/0;39/1;24/1;22/0;41/0;24/0;23/0;23/0;22/0;27/0;32/0;22/0;20/1;22/0;31/1;24/0;22/0;21/0;36/1;34/1;38/1;25/0;46/1;41/1;43/1;46/1;48/1;47/0;64/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];56/0;29/0;28/0;27/0;25/0;25/0;52/1;38/0;27/0;25/0;25/0;26/0;25/0;25/0;25/0;29/0;24/0;24/0;28/0;25/0;23/1;33/1;26/0;26/0;28/0;43/0;21/1;31/1;20/0;19/0;31/0;21/0;19/0;18/0;31/1;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];37/0;21/0;19/0;18/0;18/0;19/0;19/0;19/0;18/0;18/0;20/0;21/0;20/0;20/0;20/0;19/0;20/0;20/0;19/0;19/0;20/0;19/0;19/0;20/0;19/0;19/0;19/0;20/0;19/0;20/0;21/0;19/0;19/0;19/0;20/0;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];73/0;18/0;18/0;19/0;19/0;19/0;62/0;20/0;66/0;22/0;22/0;24/0;21/0;22/1;21/0;20/0;21/0;20/0;20/0;22/0;20/0;22/0;19/1;21/0;22/0;21/0;23/0;23/0;21/0;21/0;20/0;19/0;19/0;24/1;22/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];34/1;19/0;22/0;22/0;21/0;22/0;26/0;22/0;22/0;21/0;21/0;22/0;21/0;21/0;21/0;21/0;20/0;22/0;23/0;21/0;21/0;20/0;21/0;21/0;21/0;25/0;24/0;21/0;23/0;22/0;23/0;23/0;22/0;25/0;21/0;
