RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
deleteAbstractFeature_IN_Feature;60/1;28/0;45/1;37/1;24/0;42/0;43/1;25/0;28/0;43/1;48/1;37/1;30/0;28/0;29/0;39/1;25/0;37/0;38/1;39/1;25/0;31/1;52/1;48/1;55/1;44/1;68/1;47/0;49/1;60/1;49/1;46/1;61/2;
changeGroupFromORtoALT;42/0;25/0;24/0;22/0;22/0;22/0;77/0;23/0;22/0;22/0;23/0;22/0;22/0;23/0;22/0;23/0;68/1;23/0;22/0;24/0;22/0;23/0;23/0;24/0;28/0;76/0;25/0;23/0;75/0;24/0;24/0;22/0;76/0;
createExcludeConstraint_IN_FeatureModel;39/0;35/0;36/0;23/0;23/0;23/0;23/0;24/0;23/0;24/0;23/0;23/0;26/0;23/0;22/0;24/0;23/1;22/0;23/0;24/0;30/0;24/1;24/0;25/0;24/0;25/0;22/0;24/0;24/0;24/0;24/0;23/0;24/0;
createRequireConstraint_IN_FeatureModel;42/0;34/0;43/0;27/0;32/0;30/0;30/0;27/0;29/0;31/0;29/0;29/0;27/0;27/0;26/0;28/0;26/0;25/0;27/1;26/0;27/0;27/0;26/0;27/0;26/1;28/0;28/0;26/0;27/0;28/0;29/0;26/0;28/0;
deleteConcreteFeature_IN_Feature;65/1;35/0;46/1;45/1;26/0;53/0;52/0;26/0;34/0;50/1;43/1;43/1;29/0;26/0;31/1;44/0;29/0;41/1;42/0;47/1;34/0;36/0;72/2;58/0;60/2;58/1;92/1;58/1;57/1;57/1;68/1;63/1;85/0;
setFeatureAbstract;47/0;25/0;24/0;86/0;24/0;25/0;24/0;26/0;24/0;25/0;26/0;25/0;24/0;25/0;24/1;27/0;24/0;23/0;26/0;100/0;77/0;25/0;25/0;25/0;26/0;24/0;25/0;25/0;25/0;26/0;25/0;24/1;24/0;
setFeatureMandatory;37/0;24/1;88/0;25/0;24/0;25/0;25/0;25/0;28/0;88/0;26/0;25/0;26/0;24/0;25/0;25/0;24/0;24/0;25/0;84/0;26/0;80/0;89/0;25/0;25/1;24/0;104/0;33/0;25/0;85/0;91/0;89/0;98/0;
mutuallyExchangeMandatoryAndOptional;38/0;25/0;133/0;142/0;24/0;24/1;25/0;30/0;25/0;140/0;24/0;24/1;24/1;108/0;24/0;24/0;24/0;26/0;24/0;143/0;24/0;107/0;150/0;25/0;146/0;26/0;161/0;145/0;138/0;153/0;173/0;156/0;171/0;
ReplaceFeature;95/2;40/0;50/1;46/1;29/0;38/0;80/1;38/0;35/0;51/1;45/0;40/1;31/0;31/0;32/0;38/1;25/0;39/0;39/0;42/0;33/0;32/1;56/1;85/1;59/1;56/1;70/1;46/1;74/1;55/1;57/1;61/1;149/3;
Generalization_2-4;68/0;47/0;156/0;194/0;41/0;39/0;29/0;29/0;26/0;141/0;27/0;28/0;25/0;130/0;31/0;32/0;32/0;36/0;37/0;32/0;30/0;25/0;153/0;27/0;152/0;27/0;24/0;133/0;137/0;156/0;26/0;28/0;25/0;
ExtractALTGroup;49/0;26/0;24/0;27/0;25/1;24/0;96/0;27/0;28/0;25/0;333/2;40/0;30/0;26/0;26/0;26/0;86/0;27/0;27/0;26/0;28/0;27/0;26/0;26/0;26/0;442/1;33/0;29/0;98/0;31/0;29/0;30/0;98/0;
Refactoring_1-1;71/1;34/0;44/1;36/0;29/1;41/0;58/1;34/1;30/1;47/1;32/0;445/2;57/0;35/0;33/0;40/1;26/0;25/0;25/0;36/1;27/0;29/0;43/0;42/0;32/0;29/1;1525/2;47/1;48/1;45/0;44/1;49/0;63/1;
Refactoring_1-3;69/0;26/0;34/1;35/0;25/0;34/1;45/0;28/0;26/1;39/1;26/0;25/0;24/1;26/0;25/0;35/0;26/0;26/0;26/0;31/0;29/0;26/0;35/1;36/1;42/0;27/0;32/0;31/0;39/1;31/0;33/1;33/1;47/0;
Refactoring_1-4;65/0;28/0;98/1;108/0;28/1;42/0;47/0;32/0;28/0;113/0;29/0;27/0;28/0;91/0;28/0;38/0;30/0;28/0;32/0;31/1;31/0;27/1;108/1;46/0;117/0;34/0;42/0;105/1;110/0;110/1;47/0;41/1;61/1;
Refactoring_1-5;82/0;39/0;121/0;121/1;37/0;49/0;65/0;39/0;36/1;124/1;33/0;32/0;31/0;97/0;33/0;42/1;31/1;30/0;30/1;34/0;29/0;30/0;113/0;44/0;132/1;30/0;39/0;104/1;119/0;106/0;34/1;34/0;65/0;
Refactoring_1-8;86/1;52/0;68/1;34/0;29/1;38/0;54/0;34/0;30/1;43/0;36/0;36/0;30/0;29/0;29/0;39/0;30/0;36/0;33/0;38/1;29/0;29/0;38/1;39/0;35/0;28/0;54/0;41/1;46/1;44/0;49/0;47/1;64/0;
Specialization_3-4;55/0;29/0;170/0;32/1;30/0;31/0;31/0;31/0;30/0;179/0;31/0;35/0;37/0;32/0;30/0;31/0;30/0;30/0;29/0;172/0;28/0;130/0;167/0;29/0;28/0;30/0;180/0;31/1;28/0;172/0;172/0;211/0;205/0;
Specialization_3-6;87/1;67/0;66/0;38/0;38/0;39/0;51/1;35/1;36/0;36/0;39/0;36/0;36/0;34/1;34/1;36/0;39/0;34/1;35/0;35/0;33/0;35/0;36/1;46/1;35/0;72/0;38/1;35/0;48/1;36/1;35/1;34/0;55/1;
