RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
changeGroupFromORtoALT;44/0;23/0;23/0;22/0;25/0;23/0;25/0;77/0;23/0;24/0;24/0;26/0;26/0;23/0;22/0;23/0;25/0;73/0;23/0;25/0;22/0;78/0;24/0;23/0;24/0;24/0;23/0;80/0;24/0;23/0;23/0;23/0;23/0;81/0;
createExcludeConstraint_IN_FeatureModel;37/0;34/0;37/0;23/0;22/0;24/0;23/0;24/0;22/0;22/0;23/0;24/0;26/0;24/0;23/0;23/0;23/0;23/0;23/0;24/0;23/0;24/0;23/0;22/0;23/0;28/0;23/0;29/0;24/0;23/0;24/0;24/0;24/0;24/0;
createRequireConstraint_IN_FeatureModel;36/1;39/0;39/0;23/1;24/0;23/0;24/0;25/0;23/0;28/0;28/0;26/0;27/0;29/0;24/0;24/0;25/0;26/0;24/0;24/0;24/0;24/0;25/0;24/0;24/0;25/0;24/0;23/0;24/0;24/0;24/0;24/1;24/0;24/0;
deleteConcreteFeature_IN_Feature;59/0;34/0;44/1;58/1;30/0;46/1;46/1;51/1;26/0;29/0;46/1;42/1;44/0;27/0;25/0;32/0;41/1;26/0;39/1;40/0;47/1;47/0;36/0;35/1;56/1;54/1;55/1;46/1;75/0;48/1;55/0;52/1;54/1;71/1;
removeFromGroup_features_Feature;51/0;25/0;24/0;25/0;25/1;24/0;34/0;36/1;26/0;25/0;25/0;25/1;26/1;26/1;25/0;25/0;24/1;24/0;23/0;24/0;25/0;48/1;26/0;27/0;25/0;37/1;25/0;52/1;27/1;26/0;28/0;28/1;25/1;54/1;
setFeatureAbstract;43/0;30/0;25/0;84/0;25/0;25/0;27/0;23/0;24/0;24/0;24/0;25/0;24/0;25/0;25/0;24/0;24/0;25/0;25/0;25/0;88/0;26/0;76/1;24/0;25/0;24/0;25/0;25/0;25/0;24/0;25/0;25/0;24/0;25/0;
setFeatureMandatory;38/0;24/0;86/0;24/0;24/0;24/0;25/0;25/0;25/0;27/1;88/0;25/0;25/0;24/0;25/0;26/0;30/0;25/1;26/0;26/0;86/0;25/0;24/0;79/0;86/0;25/0;27/0;25/0;108/1;26/0;94/0;94/0;102/0;113/0;
mutuallyExchangeMandatoryAndOptional;44/0;37/0;144/0;158/0;29/0;32/0;28/0;27/0;27/0;28/0;149/0;31/0;27/0;32/0;114/0;28/0;26/0;25/0;26/0;26/0;150/0;29/0;28/0;112/0;156/0;31/0;153/0;28/0;162/0;154/0;160/0;165/0;151/0;158/0;
ReplaceFeature;96/1;34/0;47/1;46/0;27/0;36/1;69/0;79/1;40/0;30/0;45/1;46/0;40/0;35/0;32/0;38/0;45/0;32/0;47/1;49/0;46/1;62/0;39/0;33/1;65/1;74/1;57/1;54/1;60/1;47/1;65/1;54/0;51/1;141/3;
Generalization_2-4;56/1;25/0;137/0;146/0;25/0;26/0;25/0;26/0;27/0;30/0;142/0;27/0;27/0;30/0;135/0;27/0;27/0;25/0;27/0;30/0;27/0;25/1;26/0;26/0;150/0;27/0;152/0;29/0;27/0;142/0;160/0;28/0;27/0;26/0;
ExtractALTGroup;41/0;27/0;28/0;26/0;26/0;27/0;28/1;94/0;29/0;28/0;26/0;299/2;42/0;28/0;29/0;31/0;31/0;88/0;30/0;29/0;29/0;95/0;30/0;28/0;29/0;28/1;29/0;434/2;33/0;31/0;26/0;24/0;25/0;94/0;
Refactoring_1-1;69/1;28/0;39/0;30/0;25/0;37/0;25/1;46/0;27/0;25/1;41/0;29/1;393/1;44/0;27/1;27/0;39/0;29/1;28/0;28/0;39/0;30/2;28/0;27/0;40/0;43/0;35/1;29/0;1546/1;50/1;50/1;51/1;55/1;66/0;
Refactoring_1-3;77/1;34/0;38/1;40/0;29/0;36/0;31/1;45/1;32/0;29/0;39/0;29/0;30/1;29/0;29/0;30/0;38/0;29/0;30/0;29/0;33/0;29/0;29/1;31/0;54/0;52/1;49/0;36/0;39/0;33/0;33/1;33/0;34/0;50/0;
Refactoring_1-5;72/1;33/0;101/0;107/0;26/0;34/0;27/0;45/0;27/0;25/0;94/0;26/0;25/0;26/0;79/1;26/1;34/1;26/0;24/0;26/0;28/1;24/0;24/0;26/0;97/0;38/0;115/0;27/0;31/1;92/0;92/0;31/0;30/0;48/0;
Refactoring_1-8;67/0;44/0;60/0;30/0;27/0;34/0;28/0;42/1;26/0;27/0;38/1;28/0;28/0;27/0;26/0;26/0;34/0;26/0;26/0;28/0;34/0;28/0;27/0;27/1;34/1;37/0;31/0;25/0;50/0;35/1;46/0;41/0;56/1;62/1;
Specialization_3-4;51/0;28/0;154/0;32/0;29/0;28/0;28/0;30/0;37/0;30/0;156/0;29/0;28/0;29/0;30/0;32/0;28/1;29/0;30/0;28/0;158/0;29/0;28/0;126/0;169/0;30/0;27/1;29/0;178/0;31/0;163/0;165/0;160/0;164/0;
Specialization_3-6;65/1;52/1;53/0;31/0;31/0;29/0;39/0;44/0;31/0;32/0;31/0;31/0;30/0;32/0;30/0;30/0;30/0;30/0;30/0;31/0;31/0;119/1;36/1;36/0;31/0;36/1;27/0;59/0;28/0;27/0;27/0;27/0;29/0;41/1;
