RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];40/0;26/0;27/0;26/0;24/1;28/0;27/0;31/0;30/1;30/0;29/0;28/0;28/0;90/0;26/0;26/0;81/0;26/0;25/0;26/0;26/0;27/0;26/0;27/0;25/0;26/0;27/0;26/0;28/0;26/0;26/0;29/1;28/0;26/0;26/0;
setFeatureOptional[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];48/0;31/0;101/0;93/0;30/0;29/0;24/0;23/0;28/0;29/0;91/0;26/0;26/0;24/1;81/0;27/0;24/0;26/0;25/0;28/0;28/0;27/0;26/0;29/0;98/0;27/1;100/0;27/0;27/0;98/0;99/0;96/0;25/0;24/0;25/0;
createAbstractFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];44/0;38/0;33/0;33/0;24/1;23/0;23/0;24/0;26/0;24/0;23/0;24/0;24/0;24/0;23/0;23/0;29/0;24/0;25/0;24/0;34/0;25/0;23/0;23/0;24/0;32/0;25/0;24/0;24/0;25/1;23/0;24/0;23/0;23/0;23/0;
deleteAbstractFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];51/1;30/0;46/2;39/1;29/0;45/1;44/1;56/1;33/0;31/0;47/1;40/1;41/0;31/0;30/0;30/0;38/1;25/0;38/0;37/1;38/1;41/0;26/0;30/1;52/1;46/0;56/1;44/1;70/1;49/1;52/0;65/1;51/0;59/1;63/1;
changeGroupFromORtoALT[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];45/0;29/0;30/0;26/0;26/0;27/0;31/0;83/0;26/0;26/0;27/0;27/0;27/0;24/0;24/0;23/0;34/0;85/0;27/0;27/0;27/0;84/0;28/0;28/0;24/0;26/0;28/0;91/0;28/0;28/0;108/0;27/1;28/0;27/0;101/0;
createExcludeConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];46/0;42/0;39/0;44/0;30/0;27/0;27/0;28/0;27/0;27/0;27/1;27/0;26/0;32/0;27/0;26/0;40/0;26/0;28/0;27/0;47/0;26/0;26/0;26/0;26/0;42/0;26/0;26/0;26/0;26/0;25/0;27/0;25/0;26/0;26/0;
createRequireConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];39/0;38/0;38/0;47/0;27/0;25/0;25/0;26/0;26/0;25/0;26/0;26/0;26/0;24/0;25/0;25/0;39/0;25/0;25/0;33/1;46/0;32/0;36/0;31/0;26/0;48/0;27/0;27/0;27/0;26/0;32/0;25/0;26/0;26/0;25/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];59/1;38/1;44/1;55/1;29/0;50/1;46/1;48/1;28/0;32/0;47/1;45/1;42/0;27/0;26/0;32/1;42/0;29/0;41/0;45/0;49/1;49/0;35/1;35/0;50/1;51/0;52/1;47/1;74/1;70/1;56/1;57/0;59/1;72/1;67/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];62/0;30/0;29/0;29/0;29/0;30/0;61/1;47/1;30/0;30/0;30/0;32/0;29/1;30/0;31/0;33/0;31/0;29/0;31/1;30/0;30/0;58/0;33/0;33/1;30/1;50/1;45/0;67/1;33/0;34/0;50/1;32/0;34/1;29/0;58/2;
setFeatureAbstract[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];45/0;28/0;27/1;94/0;28/0;28/0;27/0;28/0;27/0;29/0;29/0;27/0;27/0;29/0;28/0;29/0;27/0;28/0;29/0;28/0;99/0;28/0;82/0;27/0;27/0;27/0;29/0;29/0;29/1;36/0;32/0;43/0;38/0;31/0;30/0;
